,exp_stage,history,rating,rt,stim_file,stim_index,subjid,stim_acc,stim_freq,reg_rating,stim_repetition,labeled_value,community,structure_coefficient
15,value_rating,"[(None, 0.0), (5.6, 1.346), (5.5, 1.417), (5.6, 1.834), (6.0, 2.234), (6.1, 2.417), (6.2, 2.467), (6.2, 3.317)]",6.2,3.317,images/9.png,4,HYC,0.9625,99,1.60054407728,2,8.86296143461,0,-0.0207906221874
16,value_rating,"[(None, 0.0), (4.3, 2.3), (4.4, 3.237), (4.5, 3.303), (4.6, 3.37), (4.7, 3.42), (4.8, 3.536), (4.7, 4.106), (4.8, 4.653), (4.9, 4.786), (4.9, 5.419)]",4.9,5.419,images/6.png,9,HYC,0.957142857143,85,0.388500629963,2,1.11560484841,1,-0.0207906221874
17,value_rating,"[(None, 0.0), (4.5, 2.128), (4.4, 2.581), (4.3, 2.714), (4.3, 4.614)]",4.3,4.614,images/8.png,8,HYC,0.96511627907,106,-0.342411448456,2,1.08503847794,1,-0.0207906221874
18,value_rating,"[(None, 0.0), (6.7, 2.096), (6.5, 2.933), (6.4, 3.133), (6.3, 3.2), (6.2, 3.25), (6.1, 3.3), (6.0, 3.333), (5.9, 3.35), (5.8, 3.4), (5.9, 3.85), (6.0, 3.883), (6.1, 3.966), (6.2, 4.066), (6.1, 4.766), (6.0, 4.799), (5.9, 4.85), (5.8, 4.866), (5.7, 4.916), (5.6, 4.966), (5.5, 4.999), (5.4, 5.067), (5.4, 6.015)]",5.4,6.015,images/5.png,10,HYC,0.971830985915,90,0.647342757805,2,3.11548605754,1,-0.0207906221874
19,value_rating,"[(None, 0.0), (4.8, 1.314), (4.7, 1.734), (4.6, 1.85), (4.5, 1.9), (4.4, 2.1), (4.5, 3.766), (4.6, 4.484), (4.7, 4.584), (4.8, 4.617), (4.7, 5.282), (5.0, 8.348), (4.9, 8.814), (4.8, 8.864), (4.7, 8.931), (4.6, 9.014), (4.5, 9.064), (4.5, 9.981)]",4.5,9.981,images/11.png,5,HYC,1.0,60,-0.71515179154,2,4.66775983763,2,-0.0207906221874
20,value_rating,"[(None, 0.0), (2.6, 2.045), (2.3, 3.881), (2.4, 4.198), (2.4, 5.215)]",2.4,5.215,images/3.png,3,HYC,0.852941176471,87,-0.400658188344,2,9.72714822428,0,-0.0207906221874
0,value_rating,"[(None, 0.0), (3.9, 51.245), (3.9, 52.583)]",3.9,52.583,images/10.png,8,JCH,0.5,82,-2.06118352422,0,1.08503847794,1,0.0141997154864
1,value_rating,"[(None, 0.0), (3.3, 1.571), (3.3, 2.708)]",3.3,2.708,images/6.png,10,JCH,0.283018867925,74,-2.00842337272,0,3.11548605754,1,0.0141997154864
2,value_rating,"[(None, 0.0), (2.8, 2.324), (2.8, 3.111)]",2.8,3.111,images/5.png,5,JCH,0.52,60,-3.22135098167,0,4.66775983763,2,0.0141997154864
3,value_rating,"[(None, 0.0), (3.4, 1.566), (3.4, 2.37)]",3.4,2.37,images/7.png,3,JCH,0.483516483516,108,-2.5115949604,0,9.72714822428,0,0.0141997154864
4,value_rating,"[(None, 0.0), (3.4, 2.317), (3.4, 4.103)]",3.4,4.103,images/3.png,2,JCH,0.367816091954,104,-2.16352504113,0,9.90846454017,0,0.0141997154864
5,value_rating,"[(None, 0.0), (6.8, 6.38), (6.7, 6.417), (6.7, 7.153)]",6.7,7.153,images/1.png,9,JCH,0.678571428571,79,0.201607034321,0,1.11560484841,1,0.0141997154864
6,value_rating,"[(None, 0.0), (6.9, 1.736), (6.9, 2.74)]",6.9,2.74,images/11.png,4,JCH,0.480392156863,119,0.997804179151,0,8.86296143461,0,0.0141997154864
7,value_rating,"[(None, 0.0), (7.7, 1.201), (7.7, 1.971)]",7.7,1.971,images/3.png,2,JCH,0.367816091954,104,2.13647495887,1,9.90846454017,0,0.0141997154864
