,correct,duration,exp_stage,onset,response,rotation,rt,secondary_responses,secondary_rts,stim_file,stim_index,trialnum,subjid,correct_shift,community,community_cross,steps_within_community,steps_since_seen
152,True,1.5,structure_learning,230.862639189,unrot,0,0.177981853485,['right'],[1.471038818359375],images/7.png,11,153,GL,True,2,False,8,6
153,False,1.5,structure_learning,232.367810011,-1,0,-1.0,[],[],images/1.png,12,154,GL,True,2,False,9,4
154,True,1.5,structure_learning,233.873027086,unrot,0,0.0879487991333,['right'],[1.1981468200683594],images/13.png,10,155,GL,False,2,False,10,4
155,True,1.5,structure_learning,235.378220081,unrot,0,0.389798879623,[],[],images/9.png,13,156,GL,True,2,False,11,4
156,False,1.5,structure_learning,236.883829117,unrot,90,0.0189850330353,['right'],[0.9384429454803467],images/1.png,12,157,GL,True,2,False,12,3
157,True,1.5,structure_learning,238.388911009,unrot,0,0.347891807556,['right'],[1.4502568244934082],images/9.png,13,158,GL,False,2,False,13,2
158,True,1.5,structure_learning,239.899309158,unrot,0,0.86439204216,[],[],images/8.png,14,159,GL,True,2,False,14,13
159,True,1.5,structure_learning,241.404633045,unrot,0,0.231357812881,['right'],[1.2384529113769531],images/9.png,13,160,GL,True,2,False,15,2
160,True,1.5,structure_learning,242.909964085,unrot,0,0.37482714653,['right'],[1.3340320587158203],images/1.png,12,161,GL,True,2,False,16,4
161,True,1.5,structure_learning,244.415266991,unrot,0,0.405102014542,['right'],[1.126028060913086],images/9.png,13,162,GL,True,2,False,17,2
162,True,1.5,structure_learning,245.92185998,unrot,0,0.373678922653,['right'],[1.285290002822876],images/7.png,11,163,GL,True,2,False,18,10
163,True,1.5,structure_learning,247.426963091,unrot,0,0.594861984253,[],[],images/1.png,12,164,GL,True,2,False,19,3
164,True,1.5,structure_learning,248.93344903,unrot,0,0.263875007629,[],[],images/7.png,11,165,GL,True,2,False,20,2
165,True,1.5,structure_learning,250.438569069,unrot,0,0.21026301384,[],[],images/1.png,12,166,GL,True,2,False,21,2
166,True,1.5,structure_learning,251.943787098,unrot,0,-0.00101113319397,['right'],[1.2512400150299072],images/7.png,11,167,GL,True,2,False,22,2
167,True,1.5,structure_learning,253.449256182,unrot,0,0.530514001846,[],[],images/13.png,10,168,GL,True,2,False,23,13
168,True,1.5,structure_learning,254.954574108,unrot,0,0.0878908634186,['right'],[1.2700040340423584],images/2.png,9,169,GL,True,1,True,1,73
